Gene start (bp)	Gene end (bp)	Gene % GC content	Chromosome/scaffold name	Gene name	NCBI gene (formerly Entrezgene) ID
24209967	24214831	54.84	Y	GOLGA2P2Y	84559
19455431	19567092	39.44	Y	BCORP1	105377223
19455431	19567092	39.44	Y	BCORP1	286554
395031	411576	49.20	HG1_PATCH	PCK2	5106
415173	426220	50.99	HG1_PATCH	DCAF11	80344
19567313	19606274	36.42	Y	TXLNGY	246126
432253	433827	60.83	HG1_PATCH	FITM1	161247
437141	439945	57.43	HG1_PATCH	PSME1	5720
439937	442569	53.51	HG1_PATCH	EMC9	51016
444340	448548	52.29	HG1_PATCH	PSME2	5721
9329880	9334832	36.89	Y	TTTY20	252951
9337464	9340284	53.35	Y	TSPY4	728395
9337464	9340284	53.35	Y	TSPY4	7258
444467	444543	59.74	HG1_PATCH	MIR7703	102465801
447661	461638	52.92	HG1_PATCH	RNF31	55072
9367803	9375681	40.42	Y	FAM197Y7	105379269
9388122	9396027	40.48	Y	FAM197Y6	105379270
9357797	9360599	53.23	Y	TSPY8	728403
462243	467543	53.69	HG1_PATCH	IRF9	10379
9398421	9401223	53.26	Y	TSPY3	100289087
9398421	9401223	53.26	Y	TSPY3	728137
472831	481235	55.21	HG1_PATCH	REC8	9985
481197	489847	58.10	HG1_PATCH	IPO4	79711
9347511	9355401	40.48	Y	FAM197Y8	105379268
7273972	7381548	44.30	Y	PRKY	5616
18135449	18137029	34.28	Y	XKRYP7	353515
490127	496665	50.99	HG1_PATCH	TM9SF1	10548
333933	386955	58.28	Y	PPP2R3B	28227
506674	509340	50.36	HG1_PATCH	TSSK4	283629
1336616	1382689	54.54	Y	IL3RA	3563
510561	514847	50.64	HG1_PATCH	CHMP4A	29082
1462581	1537185	48.23	Y	P2RY8	286530
1386152	1392113	57.28	Y	SLC25A6	293
1615059	1643081	52.08	Y	ASMT	438
514921	517048	50.75	HG1_PATCH	MDP1	145553
2219506	2502805	47.11	Y	DHRSX	207063
514933	533330	44.50	HG1_PATCH	NEDD8-MDP1	100528064
517835	533345	43.50	HG1_PATCH	NEDD8	4738
1403139	1453762	52.23	Y	ASMTL	8623
1396427	1399402	58.50	Y	LINC00106	751580
533400	540220	46.62	HG1_PATCH	GMPR2	51292
1591604	1602520	60.91	Y	AKAP17A	8227
276322	303356	53.82	Y	PLCXD1	55344
2486414	2500976	49.62	Y	ZBED1	9189
2609191	2609254	84.38	Y	MIR6089	102464837
2612988	2615347	39.58	Y	LINC00102	100359394
2691187	2741309	47.38	Y	CD99	4267
540621	543652	53.30	HG1_PATCH	TINF2	26277
550092	565410	54.94	HG1_PATCH	TGM1	7051
624344	659411	51.23	Y	SHOX	6473
1293918	1293992	53.33	Y	MIR3690	100500894
566516	572717	57.92	HG1_PATCH	RABGGTA	5875
1268800	1310381	50.88	Y	CSF2RA	1438
591576	600758	47.91	HG1_PATCH	DHRS1	115817
304529	318796	57.60	Y	GTPBP6	8225
2566024	2609207	47.00	Y		101928092
600828	610102	50.63	HG1_PATCH	NOP9	161424
2609340	2658924	43.14	Y	CD99P1	401577
606074	612408	54.84	HG1_PATCH	CIDEB	27141
606712	613031	55.70	HG1_PATCH	LTB4R2	56413
1190490	1212723	46.83	Y	CRLF2	64109
612428	619014	53.67	HG1_PATCH	LTB4R	1241
57067865	57130289	38.75	Y	VAMP7	6845
619327	636071	54.43	HG1_PATCH	ADCY4	196883
57184216	57197337	55.85	Y	IL9R	3581
637003	641000	55.85	HG1_PATCH	RIPK3	11035
666651	680582	56.84	HG1_PATCH	NFATC4	4776
254713	270255	44.99	HG1_PATCH	DHRS4	10901
270920	312726	43.41	HG1_PATCH	DHRS4L2	317749
313391	352355	43.57	HG1_PATCH	DHRS4L1	728635
36471	46043	41.19	HG2021_PATCH	LEUTX	342900
85226	94077	57.17	HG2021_PATCH	DYRK1B	9149
89592	89678	50.57	HG2021_PATCH	MIR6719	102465974
94334	106255	48.26	HG2021_PATCH	FBL	2091
246308	256907	49.94	HG2021_PATCH	PSMC4	5704
259277	296181	39.84	HG2021_PATCH	ZNF546	339327
303403	331374	39.66	HG2021_PATCH	ZNF780B	163131
344295	366081	38.52	HG2021_PATCH	ZNF780A	284323
123199	209777	51.95	HG2021_PATCH	FCGBP	8857
16044	16524	63.41	HG2002_PATCH	H3-4	8290
48178	49072	57.65	HG2002_PATCH	H2AC25	92815
49306	51669	52.96	HG2002_PATCH	H2BC26	128312
53273	53351	35.44	HG2002_PATCH	MIR4666A	100616308
78581	87387	55.49	HG2002_PATCH	RNF187	149603
149485	149603	60.50	HG2002_PATCH	RNA5S1	100169751
151724	151842	60.50	HG2002_PATCH	RNA5S2	100169753
212165	212283	60.50	HG2002_PATCH	RNA5S3	100169763
212165	212283	60.50	HG2002_PATCH	RNA5S3	100169754
221127	221245	60.50	HG2002_PATCH	RNA5S16	100169767
223369	223487	59.66	HG2002_PATCH	RNA5S17	100169768
312483	323668	45.48	HG2002_PATCH	RHOU	58480
31223	35196	63.87	HG2030_PATCH	OBP2B	29989
154870	162282	52.81	HG2030_PATCH	SURF6	6838
164406	174225	56.87	HG2030_PATCH	MED22	6837
174312	177520	50.45	HG2030_PATCH	RPL7A	6130
175490	175564	37.33	HG2030_PATCH	SNORD24	26820
176550	176622	39.73	HG2030_PATCH	SNORD36A	26815
176941	177006	40.91	HG2030_PATCH	SNORD36C	26813
177852	182770	53.97	HG2030_PATCH	SURF1	6834
182644	187252	59.58	HG2030_PATCH	SURF2	6835
187544	202260	52.38	HG2030_PATCH	SURF4	6836
202460	232190	54.49	HG2030_PATCH	STKLD1	169436
232153	244190	51.72	HG2030_PATCH	REXO4	57109
240452	285496	55.14	HG2030_PATCH	ADAMTS13	11093
126609	266435	36.89	HG2022_PATCH		101930420
286059	296942	58.04	HG2030_PATCH	CACFD1	11094
297188	305221	61.25	HG2030_PATCH	SLC2A6	11182
76358	102118	49.60	HG2030_PATCH	ABO	28
116955	119843	44.31	HG2023_PATCH	FRG2	448831
33800	56132	35.88	HG2023_PATCH	FRG1	2483
200222	211819	50.28	HG2023_PATCH	DUX4	100288687
310221	311920	52.06	HG2052_PATCH	NAT8	9027
398602	406898	40.52	HG2052_PATCH	TPRKB	51002
431280	449630	40.22	HG2052_PATCH	DUSP11	8446
7059	11175	60.00	HG2031_PATCH	LINC01300	731779
453681	486646	42.94	HG2052_PATCH	C2orf78	388960
23024	33840	61.69	HG2031_PATCH	GPR20	2843
56493	59128	63.69	HG2031_PATCH	ASTILCS	105375790
310581	367007	41.93	HG2052_PATCH	ALMS1P1	200420
58549	99008	62.40	HG2031_PATCH	PTP4A3	11156
100379	173784	51.36	HG2031_PATCH	MROH5	389690
17379	62648	53.51	HG2058_PATCH	RPS6KA1	6195
42160	42211	61.54	HG2058_PATCH	MIR1976	100302190
991	10231	57.99	HG2046_PATCH	TNK1	8711
10184	15299	58.44	HG2046_PATCH	PLSCR3	57048
23432	24554	57.35	HG2046_PATCH	TMEM256	254863
25331	40317	59.54	HG2046_PATCH	NLGN2	57555
40781	42089	60.28	HG2046_PATCH	SPEM1	374768
46073	48025	62.21	HG2046_PATCH	SPEM2	201243
49314	53277	55.83	HG2046_PATCH	SPEM3	107983988
55892	58136	63.96	HG2046_PATCH	TMEM102	284114
58730	65394	56.80	HG2046_PATCH	FGF11	2256
65518	78167	51.91	HG2046_PATCH	CHRNB1	1140
79823	104720	54.92	HG2046_PATCH	ZBTB4	57659
101789	103953	58.20	HG2046_PATCH	SLC35G6	643664
104823	135071	49.69	HG2046_PATCH	POLR2A	5430
182302	205681	41.80	HG2057_PATCH	C6orf52	347744
205856	220666	40.66	HG2057_PATCH	PAK1IP1	55003
233799	242013	47.49	HG2057_PATCH	TMEM14C	51522
3107	140252	43.51	HG2057_PATCH	GCNT2	2651
80547	119527	45.82	HG2066_PATCH	ZKSCAN7	55888
82711	211007	42.72	HG2066_PATCH	ZKSCAN7-AS1	112840933
103577	125048	45.57	HG2066_PATCH	ZNF660	285349
110242	173825	40.20	HG2066_PATCH	ZNF197	110354863
110242	173825	40.20	HG2066_PATCH	ZNF197	10168
142482	150151	42.54	HG2066_PATCH	ZNF197-AS1	100874094
174086	186145	42.60	HG2066_PATCH	ZNF35	7584
237993	249181	40.62	HG2066_PATCH	ZNF502	91392
254946	262433	39.42	HG2066_PATCH	ZNF501	115560
263011	286969	41.50	HG2066_PATCH	KIAA1143	57456
287071	398726	41.47	HG2066_PATCH	KIF15	56992
387238	387331	76.60	HG2066_PATCH	MIR564	693149
387254	391020	51.92	HG2066_PATCH	TMEM42	131616
399958	440340	46.73	HG2066_PATCH	TGM4	7047
17120	35990	42.59	HG2066_PATCH	ZNF852	285346
22724	274568	35.84	HG2060_PATCH	GRM5P1	440040
5553637	5614880	40.97	21		102724219
6986450	6997765	40.23	21		105379499
17763315	17792523	39.23	21	C21orf91-OT1	246312
23704260	23709345	36.96	21		105372749
23352929	23423778	35.26	21	D21S2088E	266917
18269116	18485879	35.11	21	TMPRSS15	5651
15263421	15283727	37.45	21		105369292
29598	107366	36.07	HG2072_PATCH	IBTK	25998
7430659	7469007	39.65	21		102724951
233021	240643	43.53	HG2072_PATCH	TPBG	7162
17513043	17593579	39.97	21	CXADR	1525
24420931	24512778	42.87	13	PARP4	143
21954	396164	44.67	HG2069_PATCH	ITGA9	3680
263494	434459	44.58	HG2069_PATCH	ITGA9-AS1	101928153
81203	115135	46.02	HG2088_PATCH	KPNA7	402569
22008756	22098518	35.10	21	LINC01687	101927843
21723293	21737319	32.99	21	LINC00317	378828
28539318	28540355	40.56	21	LINC00161	118421
28048404	28137611	35.65	21	LINC01697	284825
24304546	24321377	36.15	21	LINC01689	101927869
23730189	23889400	39.76	13	MIPEP	4285
32311018	32393012	46.41	21	URB1	9875
29872613	29888405	41.45	13	LINC00297	100874059
30202630	30307551	38.43	13	KATNAL1	84056
30289145	30289514	41.35	21	KRTAP25-1	100131902
25639258	25717562	39.65	21	JAM2	58494
32297	40131	53.59	HG2095_PATCH	LINC02783	400743
47642	88521	53.30	HG2095_PATCH	PADI1	29943
91612	126747	51.48	HG2095_PATCH	PADI3	51702
30973289	30977623	38.43	13		105370145
30103178	30108895	44.12	13	LINC00365	100874146
120403	120489	60.92	HG2095_PATCH	MIR3972	100616188
153419	209227	49.07	HG2095_PATCH	PADI4	23569
217419	246922	52.07	HG2095_PATCH	PADI6	353238
251983	284900	51.69	HG2095_PATCH	RCC2	55920
186223	266050	45.55	HG2077_PATCH	TRIM71	131405
30422488	30429758	43.08	13	UBE2L5	171222
53371	142101	41.97	HG2077_PATCH	CNOT10	25904
30617693	30660770	38.94	13	USPL1	10208
19893113	19900043	36.10	21	LINC01683	105372746
30456704	30617597	41.99	13	HMGB1	3146
24840550	25057746	36.08	21	LINC01692	339622
30165565	30166805	44.56	21	CLDN17	26285
26466209	26573286	37.29	21	CYYR1	116159
34073224	34143034	40.30	21	MRPS6	64968
29918647	29926651	46.60	13	LINC00572	100861573
44799503	44809630	45.59	13	LINC00330	144817
29193480	29288205	39.07	21	LINC00189	193629
27638613	27675024	34.95	21	LINC01673	105372763
49699320	49792682	38.63	13	KPNA3	3839
30281309	30282950	42.51	21	KRTAP24-1	643803
34073578	34106260	39.02	21	SLC5A3	6526
36385392	36419015	46.71	21	CHAF1B	8208
15086	18803	50.35	HG2111_PATCH	SAA1	6288
27494	71024	39.75	HG2111_PATCH	HPS5	11234
71121	115871	40.71	HG2111_PATCH	GTF2H1	2965
139239	139312	56.76	HG2111_PATCH	MIR3159	100423016
146012	159877	43.95	HG2111_PATCH	LDHA	3939
6744	15268	51.30	HG2087_PATCH	ELP5	23587
15231	19311	61.53	HG2087_PATCH	CLDN7	1366
37046	43585	57.84	HG2087_PATCH	SLC2A4	6517
43591	49967	58.02	HG2087_PATCH	YBX2	51087
28116094	28228667	36.70	21	LINC01695	101927973
65364	70828	55.30	HG2087_PATCH	EIF5A	1984
21746973	21797415	35.45	21	LINC01425	101927821
69689	73929	56.28	HG2087_PATCH	GPS2	2874
20403666	20525873	44.52	13	CRYL1	51084
31671000	31732118	38.15	21	SCAF4	57466
73993	87758	57.23	HG2087_PATCH	NEURL4	84461
94894	109842	54.55	HG2087_PATCH	ACAP1	9744
110254	113309	60.44	HG2087_PATCH	KCTD11	147040
113488	115584	59.61	HG2087_PATCH	TMEM95	339168
39776	39891	34.48	HG2115_PATCH	MIR548K	100313770
159692	197872	52.81	HG2115_PATCH	CTTN	2017
26511	146600	44.98	HG2115_PATCH	PPFIA1	8500
2426	47592	40.76	HG2104_PATCH	SLC16A1	6566
30803206	30810645	48.31	13	LINC00398	100874158
47930153	47932622	40.65	13	LINC00562	100861549
49308650	49444064	38.37	13	CAB39L	81617
59543	125319	50.51	HG2118_PATCH	CCDC40	55036
123534	123583	64.00	HG2118_PATCH	MIR1268B	100616121
126262	144587	58.33	HG2118_PATCH	GAA	2548
159075	171857	46.23	HG2118_PATCH	EIF4A3	9775
23	6802	48.88	HG2114_PATCH	KBTBD4	55709
14519	17020	58.59	HG2114_PATCH	FAM180B	399888
17493	22237	59.16	HG2114_PATCH	C1QTNF4	114900
91958	147756	44.90	HG2114_PATCH	AGBL2	79841
148861	199810	43.42	HG2114_PATCH	FNBP4	23360
45141	74973	43.92	HG2114_PATCH	MTCH2	23788
5679	28905	36.60	HG2140_PATCH	LINC01822	645949
34435450	34640803	39.96	13	LINC00457	100874179
30153744	30160592	52.43	13	LINC00385	105370141
43023203	43114213	38.12	13	DNAJC15	29103
26755200	26760786	44.68	13	GPR12	2835
30209151	30211783	36.23	21	LINC00307	266919
20998409	21543329	34.02	21	NCAM2	4685
26557683	26688948	39.78	13	WASF3	10810
92157	119448	43.01	HG2121_PATCH	GJA10	84694
25225	72124	42.52	HG2121_PATCH	CASP8AP2	9994
30214006	30216097	37.33	21	CLDN8	9073
34400112	34401072	43.60	21	C21orf140	102723451
34400112	34401072	43.60	21	C21orf140	101928147
27722379	27751233	36.07	21	LINC00113	54088
31873020	32044633	45.92	21	HUNK	30811
17788974	17819386	37.16	21	C21orf91	54149
14578	64819	47.83	HG2158_PATCH	NXNL2	158046
37562583	37598844	32.94	13	POSTN	10631
232109	232178	57.14	HG2158_PATCH	MIR4289	100423015
22098616	22116605	34.44	21	LINC00308	54143
36320189	36386148	42.30	21	MORC3	23515
32733899	32771792	38.11	21	PAXBP1	94104
29603	237300	40.71	HG2191_PATCH	KAT6B	23522
242512	263190	47.64	HG2191_PATCH	DUSP29	338599
32790673	32813743	43.55	21	C21orf62	56245
33642400	33899861	42.47	21	ITSN1	6453
48975912	49209779	37.08	13	FNDC3A	22862
316737	500722	43.13	18	COLEC12	81035
5081171	5098780	41.57	18	LINC01892	105371969
11454478	11465996	36.75	18	LINC01928	105371994
11981025	12030877	49.27	18	IMPA2	3613
1135	4297	61.05	HG2198_PATCH	ISLR	3671
6891	39692	55.21	HG2198_PATCH	STRA6	64220
39209116	39603528	39.07	13	LHFPL6	10186
30130	165741	53.63	HG2198_PATCH	CCDC33	80125
24252749	24254439	49.08	13	SPATA13-AS1	100874231
167028	196915	47.58	HG2198_PATCH	CYP11A1	1583
238558	263227	57.81	HG2198_PATCH	SEMA7A	8482
18878	83690	36.74	HG2219_PATCH	LTN1	26046
60012734	60044357	36.80	13	DIAPH3-AS1	100874195
9708275	9862551	43.60	18	RAB31	11031
240626	240701	55.26	HG2198_PATCH	MIR6881	102465530
275246	290451	47.95	HG2198_PATCH	UBL7	84993
42272152	42323261	36.45	13	AKAP11	11215
95118	110094	45.41	HG2219_PATCH	RWDD2B	10069
290534	342905	44.64	HG2198_PATCH	UBL7-DT	440288
115363	145222	38.76	HG2219_PATCH	USP16	10600
72708367	72727629	38.81	13	MZT1	440145
190821	191310	47.76	HG2198_PATCH	PPIAP46	729739
24539139	24541720	60.81	13		105370295
146539	164531	38.32	HG2219_PATCH	CCT8	10694
58211697	58233117	32.31	13	LINC00374	106144531
39009865	39038089	37.34	13	PROSER1	80209
168205	269780	40.73	HG2219_PATCH	MAP3K7CL	56911
45534522	45615739	44.82	13	ERICH6B	220081
37534940	37551536	39.18	13	LINC00547	400121
72782133	73016461	36.99	13	PIBF1	10464
36901946	36923814	35.43	18		105372069
10405133	10414515	45.82	18	LINC01254	101927350
721588	812546	40.01	18	YES1	7525
24050	352487	50.30	HG2213_PATCH	CTIF	9811
155651	155719	53.62	HG2213_PATCH	MIR4743	100616366
22723491	22907721	38.18	18		101927571
52097	94741	42.97	HG2231_HG2496_PATCH	APOB	338
72727749	72756198	36.79	13	BORA	79866
9615264	9619363	42.71	18	PPP4R1-AS1	101927323
174636	195036	35.06	HG2231_HG2496_PATCH	TDRD15	100129278
32672673	32773023	38.99	18	KLHL14	57565
44280768	44579953	37.07	18	LINC01478	101927921
69700594	70108493	34.06	13	KLHL1	57626
27424619	27435823	44.69	13	GTF3A	2971
29629842	29650440	34.05	18		105372045
9102630	9134345	37.35	18	NDUFV2	4729
19738	37393	45.88	HG2217_PATCH	CENATAC	338657
66990886	67002007	36.05	13	PCDH9-AS4	100874087
37312	40291	47.62	HG2217_PATCH	RPS25	6230
67326177	67379994	35.52	13	LINC00364	100874145
68861284	68885325	33.58	13	LINC00550	338862
40363	47054	48.86	HG2217_PATCH	TRAPPC4	51399
66825169	66915031	34.40	13	PCDH9-AS2	100874064
40931924	41061440	38.79	13	ELF1	1997
65787	78826	54.02	HG2217_PATCH	HYOU1	10525
89291	103577	48.94	HG2217_PATCH	VPS11	55823
45351	52488	55.14	HG2217_PATCH	SLC37A4	2542
11882622	11908366	45.05	18	MPPE1	65258
77535674	77645263	37.89	13	SCEL	8796
110410	365012	40.15	HG2235_PATCH	SLC25A26	115286
57798	210052	40.66	HG2225_PATCH	SEL1L2	80343
38687077	38887131	37.64	13	FREM2	341640
57147488	57150509	49.77	13	PRR20B	729233
75283503	75482169	38.11	13	TBC1D4	9882
37243040	37565827	52.36	18	CELF4	56853
57160632	57163653	49.77	13	PRR20D	729246
80335976	80341126	49.06	13	SPRY2	10253
57167197	57170218	49.77	13	PRR20E	729250
38349849	38363619	33.90	13	UFM1	51569
5305	153241	48.78	HG2232_PATCH	INPP5D	3635
155389	241012	45.33	HG2232_PATCH	ATG16L1	55054
221065	221340	47.46	HG2232_PATCH	SCARNA5	677775
234014	234278	53.21	HG2232_PATCH	SCARNA6	677772
253154	292393	48.72	HG2232_PATCH	SAG	6295
73054976	73077541	38.99	13	KLF5	688
79406293	79427317	37.59	13	RBM26-AS1	100505538
78596129	78599619	44.00	13		780529
45702320	45714559	45.42	13	CBY2	220082
66977432	66985776	32.92	13	PCDH9-AS3	100874086
