"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_RNA_DEGRADATION","KEGG_RNA_DEGRADATION",55,-0.370694329830137,-2.51379877566761,1.14616772310895e-05,0.00012034761092644,6.33408478560212e-05,5418,"tags=64%, list=33%, signal=43%","5393/5073/51010/22894/11340/11044/6499/51690/27258/4849/27257/11157/9337/55802/80349/3329/9125/10438/10200/51691/51013/118460/3313/64895/23644/84186/4850/57472/5394/219988/22803/10914/29883/23019/167227"
"KEGG_TIGHT_JUNCTION","KEGG_TIGHT_JUNCTION",82,-0.318678782498996,-2.42920787955499,1.13548658583583e-05,0.00012034761092644,6.33408478560212e-05,3711,"tags=48%, list=23%, signal=37%","6237/8573/5583/81/1459/8531/10000/4627/2773/1499/4628/2037/4636/5580/5581/6714/387/5519/64398/6709/998/5516/60412/9414/1460/103910/55844/8189/1457/50848/5728/87/2035/5579/10627/4893/9218/5515/3059"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",124,-0.279522857790007,-2.41156156342117,1.28324810564368e-05,0.000124376354854695,6.54612393972078e-05,5013,"tags=51%, list=31%, signal=36%","7332/7324/9039/57154/23327/140739/26259/4591/9040/868/9616/51434/51588/5371/7321/10393/8697/7320/10054/26091/63893/9690/51343/9817/7317/330/25898/329/10277/89910/6921/51529/8881/7325/7189/64326/4193/10055/55958/92912/25847/7428/55585/9978/7319/10477/9246/3093/118424/23295/51433/8924/6923/9063/7318/7327/867/7334/11060/6500/1642/51465/7323"
"KEGG_CARDIAC_MUSCLE_CONTRACTION","KEGG_CARDIAC_MUSCLE_CONTRACTION",43,-0.392836727116298,-2.44305919485632,3.53574083917112e-05,0.000318216675525401,0.000167482460802843,3649,"tags=56%, list=22%, signal=44%","7381/7171/7388/1349/483/7385/27089/4519/29796/10479/1340/7386/9167/10975/1329/1345/1347/1337/1350/476/488/4512/1327/7170"
"KEGG_PATHWAYS_IN_CANCER","KEGG_PATHWAYS_IN_CANCER",227,-0.209281973577523,-2.07036743371899,4.78567601136263e-05,0.000401996784954461,0.00021157725523919,7930,"tags=63%, list=48%, signal=33%","5290/7482/7157/7186/2535/3716/8772/7187/1030/1870/7423/1495/27148/2033/9134/4087/2034/6256/4436/6502/5336/4286/3082/3912/6772/3913/5900/6789/5970/54205/11186/7188/1856/5599/2335/6934/5337/8554/596/355/3914/8517/2735/5578/3066/2885/3091/54583/1612/4437/7855/8321/369/5468/6257/51684/1441/868/51588/2353/5371/2322/5294/26060/1438/8643/613/8312/675/5467/3728/3480/112398/3551/581/10000/1499/330/5295/329/3065/861/8030/7704/637/5296/836/6921/1857/2271/5747/10342/387/5899/1021/5898/7189/4193/10928/1488/4292/841/998/7428/3326/7184/9978/25/1436/5879/7040/6776/6923/2932/9063/1027/5293/2475/867/5728/7422/2308/5594/5604/405/7046/1399/5579/6777/4893/5894/1026/5914/23533/3320/8031/6774/7048/7170/83593/5743/3576"
"KEGG_LYSOSOME","KEGG_LYSOSOME",111,-0.277439933865586,-2.33501396424874,5.54848740100733e-05,0.000436943382829327,0.00022997020148912,7874,"tags=68%, list=48%, signal=36%","130340/53/5641/10577/10239/1174/54/411/6448/533/1513/23431/23659/537/535/10717/164/10312/1514/4668/1512/3073/1777/2760/8218/2629/285362/410/4891/2517/11154/1509/138050/5538/2581/256471/51606/175/9741/7805/2588/23545/1203/3074/950/427/2720/2990/1211/1520/5660/4126/1519/26088/23163/3920/26985/1522/8943/4864/1176/22901/9583/6556/3423/3916/162/8905/23062/2799/1075/967/3988/8763/1200/1508"
"KEGG_INSULIN_SIGNALING_PATHWAY","KEGG_INSULIN_SIGNALING_PATHWAY",111,-0.275302966406383,-2.31702863391485,7.53186692342497e-05,0.000499481701237656,0.000262885105914556,2828,"tags=38%, list=17%, signal=32%","6198/2997/5295/3098/5296/31/5566/79660/7248/5571/1977/5567/57521/9470/3635/5170/2932/5256/2203/23265/5293/2475/867/5836/8569/3643/5576/801/10211/2308/5594/5604/5770/5501/8660/1399/4893/5894/23533/2889/6194/805"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",89,-0.293056209307247,-2.3027167626868,7.52402725829708e-05,0.000499481701237656,0.000262885105914556,5094,"tags=53%, list=31%, signal=37%","9103/5578/8395/81873/1785/65108/1794/10163/5294/3985/2213/8976/3984/10000/10552/2214/10109/6198/5295/5296/2934/5580/5581/7410/2212/998/8394/9846/653361/2209/5879/3635/7454/5293/10059/6850/5594/5604/1399/5579/5058/5894/23533/382/10094/10092/4082"
"KEGG_ERBB_SIGNALING_PATHWAY","KEGG_ERBB_SIGNALING_PATHWAY",71,-0.312126101432425,-2.28301500063953,7.46727248775622e-05,0.000499481701237656,0.000262885105914556,5044,"tags=54%, list=31%, signal=37%","5578/5062/2885/4690/369/868/5294/8440/10000/6198/5295/5296/3084/5747/6714/6416/27/374/25/6776/2932/1027/817/5293/2475/867/5594/5604/1399/5579/6777/4893/5058/5894/1026/23533/1839/2069"
"KEGG_VIRAL_MYOCARDITIS","KEGG_VIRAL_MYOCARDITIS",51,-0.361173371045207,-2.38044249892637,8.3478924241703e-05,0.000500873545450218,0.000263617655500115,3009,"tags=47%, list=18%, signal=39%","4627/4628/3113/637/836/1981/3127/3383/3123/841/27/1604/25/5879/3109/2534/1982/3134/3122/3106/3105/3115/3107/3133"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",82,-0.295479640653238,-2.25236667999755,8.25505336334715e-05,0.000500873545450218,0.000263617655500115,3856,"tags=46%, list=23%, signal=36%","5294/7852/3684/81/5908/1500/4267/2773/1499/5295/4636/5296/2185/7410/5747/387/4689/4478/3383/6494/3676/998/103910/653361/1432/7430/5879/50848/5293/1536/87/4688/5579/10627/5906/23533/7414/83593"
"KEGG_APOPTOSIS","KEGG_APOPTOSIS",80,-0.286087349796922,-2.17256712592023,0.000199400107636844,0.00114201879828374,0.000601062525412497,6301,"tags=61%, list=38%, signal=38%","1439/5530/5970/54205/596/355/8517/5573/11213/839/1676/5613/3553/9131/472/840/3556/5577/9941/3656/4615/5294/3551/581/317/10000/330/5295/329/637/5296/836/5533/3554/5566/9020/841/8837/5567/3654/51135/8743/5293/5532/5576/7132/8795/23533/824"
"KEGG_VIBRIO_CHOLERAE_INFECTION","KEGG_VIBRIO_CHOLERAE_INFECTION",44,-0.367699388594984,-2.31210708204633,0.00021496750984041,0.00117764809738659,0.000619814788098206,7520,"tags=77%, list=46%, signal=42%","115/109/71/533/5336/90423/29927/537/535/10312/5578/5613/11015/10952/9296/51606/6558/523/23545/245973/529/5566/51382/528/5567/23480/9601/9414/11014/526/8992/5579/9550/30001"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",147,-0.230292970073855,-2.07369700134831,0.000235539266039853,0.00123658114670923,0.00065083218247854,5068,"tags=46%, list=31%, signal=32%","1730/23365/5062/8395/81873/369/55845/10163/5962/3695/22808/5294/6237/3985/8976/3684/81/3682/3984/4627/10552/10109/4628/5295/50649/4636/56034/5296/2934/7410/5747/387/4478/3676/998/8394/2768/7074/103910/89846/7430/5879/54434/9459/7114/7454/929/5293/10672/5305/87/9138/8874/5594/1729/5604/3071/5501/1399/10627/4893/5058/5894/23533/3687/7414/10094/10092"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",44,-0.35268898074302,-2.21772109344965,0.000432058099634655,0.00217757282215866,0.00114609095903088,5044,"tags=59%, list=31%, signal=41%","5578/7277/4690/81873/203068/8440/7099/8976/10552/10109/1499/10383/7100/387/998/84617/25/7430/2534/7454/929/9181/10094/10092/3059/7534"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT","KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",36,-0.376633705204309,-2.21417569351904,0.000785677128000948,0.00366649326400443,0.00192973329684443,5287,"tags=64%, list=32%, signal=43%","10228/55850/6811/10652/9527/8675/8677/10791/9554/6810/55014/143187/8674/9482/9570/6809/8417/8673/8773/10490/6845/9341/8676"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",95,-0.259692069262685,-2.09471492860298,0.00078158364880727,0.00366649326400443,0.00192973329684443,2902,"tags=37%, list=18%, signal=31%","2214/5295/637/5296/836/3937/2185/5533/7410/3460/3383/51744/10870/5879/962/2534/8743/5293/5532/6850/6452/5594/5604/5579/8795/4893/3106/5058/5894/23533/3105/3107/5777/7305/3133"
"KEGG_MTOR_SIGNALING_PATHWAY","KEGG_MTOR_SIGNALING_PATHWAY",44,-0.337075500338986,-2.11954296278835,0.000984166436784913,0.00442874896553211,0.00233092050817479,3856,"tags=50%, list=23%, signal=38%","5294/9706/92335/10000/6198/5295/8408/5296/6794/7248/1977/54541/57521/9470/5170/5293/2475/1975/7422/5594/23533/6194"
"KEGG_CITRATE_CYCLE_TCA_CYCLE","KEGG_CITRATE_CYCLE_TCA_CYCLE",27,-0.413843626762795,-2.18261774372096,0.00116439087255146,0.0050590775841891,0.0026626724127311,6092,"tags=74%, list=37%, signal=47%","3418/3420/5106/1737/6389/5160/1743/8803/4967/8802/2271/3417/6391/5162/3419/4190/50/8801/47/6390"
"KEGG_LEISHMANIA_INFECTION","KEGG_LEISHMANIA_INFECTION",63,-0.286075829256991,-2.01861800539815,0.0014367545974551,0.00603436930931144,0.00317598384700602,6442,"tags=60%, list=39%, signal=37%","6772/718/3689/5970/4793/10454/9103/3553/65108/2353/3108/4615/7099/3684/2214/3113/3127/4689/7189/3460/2212/23118/3676/3123/3654/653361/2209/1432/3109/7040/51135/5594/3122/4688/5579/3115/5777/5743"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",54,-0.299162995788378,-2.01119411774286,0.00181598222884862,0.00738108905919117,0.00388478371536377,6100,"tags=59%, list=37%, signal=37%","5970/4793/29108/5599/8517/10454/58484/3553/6347/84674/3606/3551/114548/330/329/64170/7189/23118/841/3326/7184/10910/1432/22900/22861/9051/5594/64127/8767/4210/3320/3576"
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",59,-0.290949744727935,-2.02094730469981,0.00261640494837837,0.0103020944842398,0.00542215499170518,2816,"tags=39%, list=17%, signal=32%","5608/5295/5296/3937/5580/5581/7410/6416/695/9846/1432/5879/3635/5170/2534/5293/6850/5594/5604/5579/4893/5894/23533"
"KEGG_RENAL_CELL_CARCINOMA","KEGG_RENAL_CELL_CARCINOMA",61,-0.28677775722647,-2.00462823327916,0.00272912825580998,0.0104203078858199,0.00548437257148417,4996,"tags=51%, list=30%, signal=35%","5062/2885/3091/54583/369/5294/112398/5908/10000/5295/5296/6921/2271/998/7428/9978/5879/7040/6923/5293/7422/5594/5604/405/1399/4893/5058/5894/5906/23533/2889"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION","KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",35,-0.331836319381431,-1.91828941915245,0.00470835040689544,0.0174485926843772,0.00918346983388275,5241,"tags=60%, list=32%, signal=41%","396/84516/10488/5613/5878/5868/9586/1781/1639/1385/6810/5566/64764/5567/8655/4905/397/5869/51143/10540/8766"
"KEGG_CHRONIC_MYELOID_LEUKEMIA","KEGG_CHRONIC_MYELOID_LEUKEMIA",67,-0.260384386222892,-1.85859710256527,0.00520731852538282,0.0182256148388399,0.00959242886254731,2758,"tags=42%, list=17%, signal=35%","5294/613/3551/10000/5295/3065/861/5296/1021/4193/1488/9846/25/7040/6776/1027/5293/867/5594/5604/7046/1399/6777/4893/5894/1026/23533/7048"
"KEGG_MAPK_SIGNALING_PATHWAY","KEGG_MAPK_SIGNALING_PATHWAY",178,-0.186911063288193,-1.75627246596339,0.00518706763325171,0.0182256148388399,0.00959242886254731,5483,"tags=44%, list=33%, signal=30%","4215/355/80824/6197/55799/8517/10454/5606/5578/5062/2885/5613/3553/5871/9344/22808/2353/8491/5495/4208/23162/9175/6237/3312/2005/1849/3551/5908/10000/9448/1844/11221/5608/51701/4216/1326/836/1848/1845/5533/3554/8550/5566/5607/7850/9020/5598/5971/7189/23118/9261/6416/998/5567/2317/2768/6722/409/8649/1432/5879/7040/929/5532/8569/5594/5604/468/7046/7132/1399/5579/4893/3164/5058/5894/5906/7048/2316"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY","KEGG_CHEMOKINE_SIGNALING_PATHWAY",136,-0.20367503166867,-1.78988213876781,0.00751994182004035,0.0256084505222996,0.0134781318538419,3878,"tags=37%, list=24%, signal=28%","1234/5294/7852/5473/8976/3551/5908/2790/10000/2773/5295/5296/2185/5580/7410/5566/2309/6773/5747/387/998/5567/7074/409/653361/5879/59345/1524/729230/2932/7454/5293/113/5594/5604/2787/58191/54331/1399/5579/6777/4893/5058/5894/5906/23533/1230/57580/6774/3576"
"KEGG_GLIOMA","KEGG_GLIOMA",49,-0.280544467973027,-1.82556982363801,0.00863457063078142,0.0286304184073279,0.0150686412670147,718,"tags=27%, list=4%, signal=25%","817/5293/2475/5728/801/5594/5604/5579/4893/5894/1026/23533/805"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",27,-0.364636759538647,-1.9230999583283,0.0100044982275279,0.0323222250427823,0.017011697390938,5044,"tags=56%, list=31%, signal=39%","5578/23327/481/5294/483/5295/5296/5170/5293/3643/5594/8660/476/5579/23533"
"KEGG_ADHERENS_JUNCTION","KEGG_ADHERENS_JUNCTION",56,-0.268212816554948,-1.83477279851759,0.0108160240964556,0.0340704759038353,0.0179318294230712,3588,"tags=43%, list=22%, signal=34%","8976/81/3480/1459/1500/1499/51701/6714/387/998/1460/1457/5879/2534/7454/3643/87/5594/5795/7046/5770/7414/5777/7048"
"KEGG_PPAR_SIGNALING_PATHWAY","KEGG_PPAR_SIGNALING_PATHWAY",40,-0.304592948201029,-1.85194395939276,0.0115421882584085,0.0354711151355968,0.0186690079661036,7340,"tags=70%, list=45%, signal=39%","10062/6256/1375/10999/6319/336/1374/8310/34/5106/5360/948/5468/6257/2171/9415/2180/5467/5465/4973/2181/7316/51703/30/6342/5170/1593/51"
"KEGG_ACUTE_MYELOID_LEUKEMIA","KEGG_ACUTE_MYELOID_LEUKEMIA",53,-0.273394062680388,-1.82587812751552,0.0123137279922139,0.0360820866748594,0.0189905719341365,3902,"tags=43%, list=24%, signal=33%","5371/2322/5294/5467/3728/3551/10000/6198/5295/861/7704/5296/6776/5293/2475/5594/5604/6777/4893/5894/5914/23533/6774"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",68,-0.237549371203884,-1.70576195469023,0.0120755844113187,0.0360820866748594,0.0189905719341365,6161,"tags=53%, list=38%, signal=33%","5530/5970/975/4793/7409/8517/2885/8519/4772/2353/5294/2213/3551/10000/5295/5296/5533/7410/4794/695/8915/118788/5879/3635/2932/5293/5532/6850/5594/5604/5579/11025/4893/5894/23533/5777"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",56,-0.263296381700141,-1.80114077058862,0.0136231875516615,0.0385715762469986,0.0203008296036835,6704,"tags=59%, list=41%, signal=35%","533/5336/90423/537/5970/535/5599/10312/8517/1445/9296/51606/3551/523/23545/245973/836/529/9020/6714/51382/528/6416/998/1432/5879/50848/526/8992/9550/5058/1839/3576"
"KEGG_FOCAL_ADHESION","KEGG_FOCAL_ADHESION",129,-0.193496866245473,-1.68625694825382,0.0137755629453567,0.0385715762469986,0.0203008296036835,3432,"tags=33%, list=21%, signal=27%","81/3480/5908/7057/10000/1499/330/5295/329/4636/56034/5296/7410/5747/6714/387/3676/998/2317/103910/5879/5170/2932/2534/5293/5728/7422/87/5594/1729/5604/5501/1399/5579/10627/5058/5894/5906/23533/2889/7414/824/2316"
"KEGG_PROSTATE_CANCER","KEGG_PROSTATE_CANCER",72,-0.235815808807907,-1.72943872468602,0.0144442795931895,0.0395647658422147,0.0208235609695867,3392,"tags=38%, list=21%, signal=30%","3480/3551/10000/1499/1385/5295/56034/5296/4193/64764/3326/7184/5170/2932/1027/5293/2475/5728/2308/5594/5604/468/4893/5894/1026/23533/3320"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",81,-0.223238751106313,-1.70302066144697,0.0161543791316885,0.0424052452206824,0.0223185501161486,6604,"tags=56%, list=40%, signal=33%","54472/6348/6772/1513/958/5970/5599/114609/8517/10454/5606/148022/3553/2353/353376/4615/5294/3663/7099/3551/10000/10333/5608/5295/1326/5296/7100/7189/23118/51284/6416/841/3654/3665/1432/5879/51135/7096/929/5293/5594/5604/51311/23533/3576"
"KEGG_GNRH_SIGNALING_PATHWAY","KEGG_GNRH_SIGNALING_PATHWAY",66,-0.237918234536624,-1.69573169772842,0.0159829706024791,0.0424052452206824,0.0223185501161486,2816,"tags=33%, list=17%, signal=28%","5608/4216/2185/5580/5566/6714/5598/6416/998/5567/1432/817/113/801/5594/5604/468/5579/4893/5894/1839/805"
